Incident Date,Incident Name,Category,Target Industry,Attack Vector,Attributed Actor Type,Impacted Entities,Financial Cost,APT vs Opportunistic,Source,Source URL,Notes,MITRE ATT&CK ID,Attack Technique,Attack Behavior,Attack Indicator,Artifact,Detection Method,Time to Detect,Detection Coverage,Incident Failure Point,Compliance Status,Contingency/Backup Plan,Disruption Type,Business Impact
2020-10-15,npm (1/20/2021),Software Supply Chain,Open Source/Package Registry,Typosquatting,Unknown / Not attributed,npm; 3 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://blog.sonatype.com/sonatype-spots-more-discord-malware-in-npm?hs_preview=BbDPGbfh-40737456755:,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged typosquatting against npm (1/20/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting npm; 3 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-10-21,"NPM malicious packages (plutov-slack-client, nodetest199, etc.)",Software Supply Chain,Open Source/Package Registry,Malicious package,Unknown / Not attributed,"NPM; 4 malicious packages; 1,000+ downloads",Not available,Other/Unknown,CNCF TAG Security Catalog,https://securitylab.github.com/research/octopus-scanner-malware-open-source-supply-chain,Malicious NPM packages with reverse-shell and data mining functionality,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Attacker leveraged malicious package against NPM malicious packages (plutov-slack-client, nodetest199, etc.) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,"Malicious code injection affecting NPM; 4 malicious packages; 1,000+ downloads; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users."
2020-10-25,npm (2/3/2021),Software Supply Chain,Open Source/Package Registry,Typosquatting,Unknown / Not attributed,npm,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://www.npmjs.com/advisories/1599; https://www.npmjs.com/advisories/1600,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged typosquatting against npm (2/3/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting npm; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-11-01,Wizvera VeraPort malware delivery,Software Supply Chain,Identity Verification/Certificate Authority,Publishing infrastructure compromise; Code injection,APT (Lazarus Group),Wizvera; South Korean users; citizens and businesses,Not available,APT,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Legitimate website compromised; VeraPort config replaced to deliver malware; digitally signed,T1195.002 + T1059,Supply Chain Compromise: Compromise Software Supply Chain; Command and Scripting Interpreter,"Attacker leveraged publishing infrastructure compromise; code injection against Wizvera VeraPort malware delivery to insert or execute unauthorized code in the victim's software supply chain; actor profile: APT (Lazarus Group). Mapped to T1195.002, T1059 based on the reported vector.",signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence; exploit attempts in application logs; unexpected web shells or child processes,Trojanized legitimate installer/update package,Unknown,Unknown,Unknown,Distribution/publishing infrastructure integrity; Code review and artifact integrity,Not reported,Unknown,Malicious code injection,Malicious code injection affecting Wizvera; South Korean users; citizens and businesses; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-11-03,SonarQube misconfiguration source code theft,Software Supply Chain,Government/Technology,Credential compromise; Misconfigured service,Unknown / Not attributed,US government agencies; private businesses; source code stolen,Not available,Other/Unknown,CNCF TAG Security Catalog,https://www.zdnet.com/article/fbi-hackers-stole-source-code-from-us-government-agencies-and-private-companies/,FBI alert about threat actors abusing misconfigured SonarQube instances,T1078 + T1552 + T1190,Valid Accounts; Unsecured Credentials; Exploit Public-Facing Application,"Attacker leveraged credential compromise; misconfigured service against SonarQube misconfiguration source code theft to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1078, T1552, T1190 based on the reported vector.",logins/publishes from unfamiliar IPs or geographies; new API tokens or app credentials,Not publicly detailed,Internal monitoring,Unknown,Unknown,Credential management; Configuration management of exposed services,Government incident reporting/advisory (CISA or national CERT),Unknown,Credential theft,Credential theft affecting US government agencies; private businesses; source code stolen; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-11-09,npm (11/9/2020),Software Supply Chain,Open Source/Package Registry,Account takeover; Malicious package; Typosquatting,Unknown / Not attributed,npm; 4 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://blog.sonatype.com/discord.dll-successor-to-npm-fallguys-,IQT/Breaking Trust dataset. The new packages in question were published by the same npm author whose npm account also contains what looks like legitimate packages with genuine use cases.,T1195.001 + T1078,Supply Chain Compromise: Compromise Software Dependencies and Development Tools; Valid Accounts,"Attacker leveraged account takeover; malicious package; typosquatting against npm (11/9/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001, T1078 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts; logins/publishes from unfamiliar IPs or geographies; new API tokens or app credentials,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification; Credential management / account security,Not reported,Unknown,Malicious code injection,Malicious code injection affecting npm; 4 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-12-01,Accellion FTA zero-day exploitation,Software Supply Chain,File Transfer/Enterprise Software,Vulnerability exploitation; Code injection,Cybercriminal (UNC2546),Accellion; many customer companies; data exfiltrated and extortion attempted,Not available,Opportunistic,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Multiple zero-day vulnerabilities exploited; webshell deployed; data exfiltration,T1190 + T1059,Exploit Public-Facing Application; Command and Scripting Interpreter,"Attacker leveraged vulnerability exploitation; code injection against Accellion FTA zero-day exploitation to insert or execute unauthorized code in the victim's software supply chain; actor profile: Cybercriminal (UNC2546). Mapped to T1190, T1059 based on the reported vector.",exploit attempts in application logs; unexpected web shells or child processes,Exploit for a public-facing application; follow-on webshell or loader,Internal monitoring,Unknown,Unknown,Vulnerability management on internet-facing systems; Code review and artifact integrity,Not reported,Unknown,Data breach,Data breach affecting Accellion; many customer companies; data exfiltrated and extortion attempted; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-12-01,Vietnam VGCA certification authority compromise,Software Supply Chain,Certificate Authority/Government,Publishing infrastructure compromise; Code injection,"APT (TA413, TA428)",VGCA; users in Vietnam; citizens and businesses,Not available,APT,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,VGCA website compromised; legitimate binaries replaced with trojanized applications,T1195.002 + T1059,Supply Chain Compromise: Compromise Software Supply Chain; Command and Scripting Interpreter,"Attacker leveraged publishing infrastructure compromise; code injection against Vietnam VGCA certification authority compromise to insert or execute unauthorized code in the victim's software supply chain; actor profile: APT (TA413, TA428). Mapped to T1195.002, T1059 based on the reported vector.",signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence; exploit attempts in application logs; unexpected web shells or child processes,Trojanized legitimate installer/update package,Internal monitoring,Unknown,Unknown,Distribution/publishing infrastructure integrity; Code review and artifact integrity,Government incident reporting/advisory (CISA or national CERT),Unknown,Backdoor/unauthorized access,Backdoor/unauthorized access affecting VGCA; users in Vietnam; citizens and businesses; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-12-02,npm (7/21/2021),Software Supply Chain,Open Source/Package Registry,Malicious package,Unknown / Not attributed,npm; 2 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://blog.secure.software/groundhog-day-npm-package-caught-stealing-browser-passwords,IQT/Breaking Trust dataset. NPM security team removed nodejs_net_server and temptesttempfile packages.,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package against npm (7/21/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting npm; 2 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-12-07,RubyGems.org (12/8/2020),Software Supply Chain,Open Source/Package Registry,Malicious package,Unknown / Not attributed,RubyGems.org,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://github.com/rubygems/rubygems.org/wiki/Gems-yanked-and-accounts-locked#08-dec-2020,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package against RubyGems.org (12/8/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting RubyGems.org; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-12-13,RubyGems.org (12/14/2020),Software Supply Chain,Open Source/Package Registry,Malicious package,Unknown / Not attributed,RubyGems.org,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://github.com/rubygems/rubygems.org/wiki/Gems-yanked-and-accounts-locked#14-dec-2020,IQT/Breaking Trust dataset,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged malicious package against RubyGems.org (12/14/2020) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting RubyGems.org; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2020-12-13,SolarWinds Orion (12/13/2020),Software Supply Chain,IT/DevOps Software,Build system compromise; Source code compromise,Unknown / Not attributed,SolarWinds Orion,Not available,Other/Unknown,Atlantic Council Breaking Trust; CNCF TAG Security Catalog; ENISA Threat Landscape for Supply Chain Attacks,https://blog.reversinglabs.com/blog/sunburst-the-next-level-of-stealth; https://www.fireeye.com/blog/threat-research/2020/12/evasive-attacker-leverages-solarwinds-supply-chain-compromises-with-sunburst-backdoor.html; https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,IQT/Breaking Trust dataset,T1195.002 + T1078.004 + T1071.001 + T1554 + T1027 + T1550.001 + T1606.002,Supply Chain Compromise: Compromise Software Supply Chain; Valid Accounts: Cloud Accounts; Application Layer Protocol: Web Protocols; Compromise Host Software Binary; Obfuscated Files or Information; Use Alternate Authentication Material; Forge Web Credentials: SAML Tokens,"APT29/UNC2452 implanted SUNSPOT into the SolarWinds Orion build pipeline so that the SUNBURST backdoor was inserted into legitimately signed Orion updates; from selected victims they escalated to Teardrop/Raindrop loaders, stole AD FS token-signing certificates and forged SAML tokens to reach cloud email.",Signed SolarWinds.Orion.Core.BusinessLayer.dll with anomalous hash; avsvmcloud[.]com DGA subdomain beaconing; jittered 12+ hour first callback delay; anomalous SAML tokens with long lifetimes; new service principals/credentials added to Azure AD applications,SUNBURST (Solorigate) backdoor; SUNSPOT build injector; Teardrop and Raindrop Cobalt Strike loaders; GOLDMAX/SIBOT/GOLDFINDER; SUPERNOVA webshell,Third-party report - FireEye/Mandiant discovered it while investigating its own breach (an anomalous MFA device enrollment) and disclosed publicly,~9 months (build system access from ~September 2019/March 2020 trojanized builds; disclosed December 2020),No,"Build system integrity - no verification that compiled artifacts matched reviewed source, and code-signing applied to a tampered build",SEC disclosure required (SolarWinds 8-K; later SEC enforcement action against the company and its CISO); CISA Emergency Directive 21-01 for federal agencies,"Backups available; victims rebuilt Orion servers and rotated credentials/certificates, though token-signing key theft required full identity-trust reissuance",Data breach,"About 18,000 organizations received the trojanized update and roughly 100 were actively exploited, including nine US federal agencies, forcing government-wide disconnection of Orion, mass credential resets and a multi-year loss of trust in signed vendor updates."
2021-01-01,Mimecast certificate compromise (via SolarWinds),Software Supply Chain,Cloud Cybersecurity/Email Security,Credential compromise; Certificate attack,APT29,Mimecast; customers using Microsoft 365; customer data,Not available,APT,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Compromised via SolarWinds; Mimecast certificate accessed to intercept Microsoft 365 connections,T1553.002 + T1078 + T1552,Subvert Trust Controls: Code Signing; Valid Accounts; Unsecured Credentials,"Attacker leveraged credential compromise; certificate attack against Mimecast certificate compromise (via SolarWinds) to insert or execute unauthorized code in the victim's software supply chain; actor profile: APT29. Mapped to T1553.002, T1078, T1552 based on the reported vector.",logins/publishes from unfamiliar IPs or geographies; new API tokens or app credentials,Abused code-signing certificate and signed malware,Third-party security research,Unknown,Unknown,Code-signing key and certificate governance; Credential management,Not reported,Unknown,Credential theft,Credential theft affecting Mimecast; customers using Microsoft 365; customer data; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-01-01,Private stock investment messenger (Thallium),Software Supply Chain,Financial Software,Code injection; Malicious package,APT (Thallium),Stock investors; infected users,Not available,APT,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Thallium APT trojanized installers to spy on infected users,T1195.001 + T1059,Supply Chain Compromise: Compromise Software Dependencies and Development Tools; Command and Scripting Interpreter,"Attacker leveraged code injection; malicious package against Private stock investment messenger (Thallium) to insert or execute unauthorized code in the victim's software supply chain; actor profile: APT (Thallium). Mapped to T1195.001, T1059 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts; exploit attempts in application logs; unexpected web shells or child processes,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package registry verification; Code review and artifact integrity,Financial regulator notification likely required,Unknown,Backdoor/unauthorized access,Backdoor/unauthorized access affecting Stock investors; infected users; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-01-31,CodeCov (4/15/2021),Software Supply Chain,IT/DevOps Software,Build system compromise,Unknown / Not attributed,CodeCov,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://about.codecov.io/security-update/,IQT/Breaking Trust dataset,T1195.002 + T1552.001 + T1078.004 + T1567,Supply Chain Compromise: Compromise Software Supply Chain; Unsecured Credentials: Credentials In Files; Valid Accounts: Cloud Accounts; Exfiltration Over Web Service,An error in Codecov's Docker image creation process exposed a credential that let the attacker modify the widely used Bash Uploader script so that every CI run exported its environment variables - including cloud keys and tokens - to an attacker-controlled server.,Unexpected curl POST to 178.62.86.114 in CI logs; altered checksum of codecov-bash uploader; subsequent unauthorized use of leaked CI secrets and Git tokens,Modified Codecov Bash Uploader script (one-line curl exfiltration),Customer report - a client noticed a checksum mismatch between the served Bash Uploader and the GitHub source,~2 months (modification 2021-01-31; discovered/disclosed 2021-04-01/15),No,"Artifact integrity and secret hygiene - unsigned, unverified CI script served over the network with no checksum enforcement","Customer breach notifications (e.g. HashiCorp GPG key rotation, Rapid7 and Twilio disclosures); federal investigation reported",Remediation via mass credential rotation and signing-key replacement rather than restoration; no data destruction,Credential theft,"Secrets from CI pipelines across an estimated 29,000 customers were exposed, forcing industry-wide token and signing-key rotation at companies including HashiCorp, Twilio, Rapid7 and Monday.com."
2021-02-01,BigNox NoxPlayer emulator compromise,Software Supply Chain,Gaming/Software,Update mechanism compromise; Code injection,Unknown / Not attributed,BigNox; specific targets in Asia,Not available,Other/Unknown,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Infrastructure compromised; update mechanism abused to deliver malware,T1195.002 + T1059,Supply Chain Compromise: Compromise Software Supply Chain; Command and Scripting Interpreter,"Attacker leveraged update mechanism compromise; code injection against BigNox NoxPlayer emulator compromise to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1059 based on the reported vector.",signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence; exploit attempts in application logs; unexpected web shells or child processes,Trojanized legitimate installer/update package,Internal monitoring,Unknown,Unknown,Update channel integrity; Code review and artifact integrity,Not reported,Unknown,Malicious code injection,Malicious code injection affecting BigNox; specific targets in Asia; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-02-01,Dependency confusion attacks (repojacking),Software Supply Chain,Technology/Software,Dependency confusion; Malicious package,Security researcher (white hat),"Apple, Microsoft, PayPal, Shopify, Netflix, Yelp, Uber; 35+ companies","$130,000+ in bug bounties",Other/Unknown,CNCF TAG Security Catalog,https://medium.com/@alex.birsan/dependency-confusion-4a5d60fec610,Alex Birsan research; public packages with same names as internal packages,T1195.001,Supply Chain Compromise: Compromise Software Dependencies and Development Tools,Attacker leveraged dependency confusion; malicious package against Dependency confusion attacks (repojacking) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Security researcher (white hat). Mapped to T1195.001 based on the reported vector.,newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Package resolution order / namespace control; Package registry verification,Not reported,Unknown,Malicious code injection,"Malicious code injection affecting Apple, Microsoft, PayPal, Shopify, Netflix, Yelp, Uber; 35+ companies; reported financial impact of $130,000+ in bug bounties. Downstream effect flowed through the compromised component to dependent organizations and users."
2021-02-01,Ukraine SEI EB portal compromise,Software Supply Chain,Government/Public Administration,Code injection; Malicious documents,Various APT groups,Ukraine government; public authorities; executive bodies,Not available,APT,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Malicious documents uploaded to government document exchange portal,T1059 + T1204.002,Command and Scripting Interpreter; User Execution: Malicious File,"Attacker leveraged code injection; malicious documents against Ukraine SEI EB portal compromise to insert or execute unauthorized code in the victim's software supply chain; actor profile: Various APT groups. Mapped to T1059, T1204.002 based on the reported vector.",exploit attempts in application logs; unexpected web shells or child processes,Not publicly detailed,Internal monitoring,Unknown,Unknown,Code review and artifact integrity; Email/document content filtering,Government incident reporting/advisory (CISA or national CERT),Unknown,Malicious code injection,Malicious code injection affecting Ukraine government; public authorities; executive bodies; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-02-01,VS Code GitHub repository compromise,Software Supply Chain,Developer Tools,Dev tooling compromise; CI/CD compromise,Security researcher (white hat),Microsoft VS Code; GitHub repository,Not available,Other/Unknown,CNCF TAG Security Catalog,https://www.bleepingcomputer.com/news/security/heres-how-a-researcher-broke-into-microsoft-vs-codes-github/,Researcher obtained push access via vulnerability in issue management,T1195.002 + T1195.001,Supply Chain Compromise: Compromise Software Supply Chain; Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Attacker leveraged dev tooling compromise; ci/cd compromise against VS Code GitHub repository compromise to insert or execute unauthorized code in the victim's software supply chain; actor profile: Security researcher (white hat). Mapped to T1195.002, T1195.001 based on the reported vector.",signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence,Not publicly detailed,Third-party security research,Unknown,Unknown,CI/CD pipeline access control; Developer tooling trust boundary,Not reported,Unknown,Service disruption,Service disruption affecting Microsoft VS Code; GitHub repository; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-02-09,npm (3/1/2021),Software Supply Chain,Open Source/Package Registry,Build system compromise; Typosquatting,Unknown / Not attributed,npm; 700 packages/instances affected,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://blog.sonatype.com/malicious-dependency-confusion-copycats-exfiltrate-bash-history-and-etc-shadow-files,IQT/Breaking Trust dataset,T1195.002 + T1195.001,Supply Chain Compromise: Compromise Software Supply Chain; Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Attacker leveraged build system compromise; typosquatting against npm (3/1/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1195.001 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts; signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Build system integrity; Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting npm; 700 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-02-16,Qentinel Pace (2/18/2021),Software Supply Chain,Technology/Software,Build system compromise; Typosquatting,Unknown / Not attributed,Qentinel Pace,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://info.qentinel.com/blog/dependency-confusion-attack,IQT/Breaking Trust dataset,T1195.002 + T1195.001,Supply Chain Compromise: Compromise Software Supply Chain; Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Attacker leveraged build system compromise; typosquatting against Qentinel Pace (2/18/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1195.001 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts; signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Build system integrity; Package registry verification,Not reported,Unknown,Malicious code injection,Malicious code injection affecting Qentinel Pace; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-02-25,"npm, PyPi, pip (3/1/2021)",Software Supply Chain,Open Source/Package Registry,Build system compromise; Typosquatting,Unknown / Not attributed,"npm, PyPi, pip; 5100 packages/instances affected",Not available,Other/Unknown,Atlantic Council Breaking Trust,https://blog.sonatype.com/pypi-and-npm-flooded-with-over-5000-dependency-confusion-copycats,IQT/Breaking Trust dataset,T1195.002 + T1195.001,Supply Chain Compromise: Compromise Software Supply Chain; Supply Chain Compromise: Compromise Software Dependencies and Development Tools,"Attacker leveraged build system compromise; typosquatting against npm, PyPi, pip (3/1/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002, T1195.001 based on the reported vector.",newly published or renamed package versions with install-time scripts; outbound connections from build/CI hosts; signed artifact whose hash does not match reviewed source; unexpected release outside normal cadence,"Malicious registry package with install-time script (payload varies: infostealer, backdoor, cryptominer)",Third-party security research,Unknown,Unknown,Build system integrity; Package registry verification,Not reported,Unknown,Malicious code injection,"Malicious code injection affecting npm, PyPi, pip; 5100 packages/instances affected; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users."
2021-03-01,Apple Xcode malicious project,Software Supply Chain,Developer Tools,Code injection; Dev tooling compromise,Unknown / Not attributed,Xcode developers; backdoor infections,Not available,Other/Unknown,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Malicious Xcode project with backdoor; exploited Xcode weakness,T1195.001 + T1059,Supply Chain Compromise: Compromise Software Dependencies and Development Tools; Command and Scripting Interpreter,"Attacker leveraged code injection; dev tooling compromise against Apple Xcode malicious project to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.001, T1059 based on the reported vector.",exploit attempts in application logs; unexpected web shells or child processes,Not publicly detailed,Unknown,Unknown,Unknown,Developer tooling trust boundary; Code review and artifact integrity,Not reported,Unknown,Backdoor/unauthorized access,Backdoor/unauthorized access affecting Xcode developers; backdoor infections; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-03-01,SITA passenger service system breach,Software Supply Chain,Aviation/Air Transport IT,Server compromise; Data exfiltration,APT41 (for Air India attack); SITA compromise not attributed,SITA; Air India; Singapore Airlines; Malaysia Airlines; passenger data,Not available,APT,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,SITA servers compromised; passenger data accessed from multiple airlines,T1190 + T1567,Exploit Public-Facing Application; Exfiltration Over Web Service,"Attacker leveraged server compromise; data exfiltration against SITA passenger service system breach to insert or execute unauthorized code in the victim's software supply chain; actor profile: APT41 (for Air India attack); SITA compromise not attributed. Mapped to T1190, T1567 based on the reported vector.",anomalous change to a trusted third-party component; unexpected outbound network activity,Not publicly detailed,Internal monitoring,Unknown,Unknown,Perimeter server hardening; Data loss prevention and egress monitoring,Not reported,Unknown,Data breach,Data breach affecting SITA; Air India; Singapore Airlines; Malaysia Airlines; passenger data; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
2021-03-01,Verkada security camera compromise,Software Supply Chain,Physical Security/Surveillance,Credential compromise,Hacktivist,"Verkada; 5,000+ customers; 150,000+ cameras at schools, jails, hospitals, Tesla factories",Not available,Opportunistic,ENISA Threat Landscape for Supply Chain Attacks,https://www.enisa.europa.eu/publications/threat-landscape-for-supply-chain-attacks,Privileged credentials found on internet; production server compromised,T1078 + T1552,Valid Accounts; Unsecured Credentials,"Attacker leveraged credential compromise against Verkada security camera compromise to insert or execute unauthorized code in the victim's software supply chain; actor profile: Hacktivist. Mapped to T1078, T1552 based on the reported vector.",logins/publishes from unfamiliar IPs or geographies; new API tokens or app credentials,Not publicly detailed,Unknown,Unknown,Unknown,Credential management,Not reported,Unknown,Credential theft,"Credential theft affecting Verkada; 5,000+ customers; 150,000+ cameras at schools, jails, hospitals, Tesla factories; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users."
2021-03-28,PHP (3/28/2021),Software Supply Chain,Open Source/Infrastructure,Source code compromise,Unknown / Not attributed,PHP,Not available,Other/Unknown,Atlantic Council Breaking Trust,https://news-web.php.net/php.internals/113838,IQT/Breaking Trust dataset,T1195.002,Supply Chain Compromise: Compromise Software Supply Chain,Attacker leveraged source code compromise against PHP (3/28/2021) to insert or execute unauthorized code in the victim's software supply chain; actor profile: Unknown / Not attributed. Mapped to T1195.002 based on the reported vector.,anomalous change to a trusted third-party component; unexpected outbound network activity,Not publicly detailed,Unknown,Unknown,Unknown,Source repository integrity,Not reported,Unknown,Data breach,Data breach affecting PHP; no public financial figure. Downstream effect flowed through the compromised component to dependent organizations and users.
